"sector","industry"
"Agribusiness","Forestry & Forest Products"
"Agribusiness","Poultry & Eggs"
"Agribusiness","Food Processing & Sales"
"Agribusiness","Crop Production & Basic Processing"
"Agribusiness","Dairy"
"Agribusiness","Tobacco"
"Agribusiness","Agricultural Services/Products"
"Agribusiness","Misc Agriculture"
"Agribusiness","Livestock"
"Candidate","Candidate Self-finance"
"Communic/Electronics","Misc Communications/Electronics"
"Communic/Electronics","Telephone Utilities"
"Communic/Electronics","Computers/Internet"
"Communic/Electronics","Telecom Services & Equipment"
"Communic/Electronics","Printing & Publishing"
"Communic/Electronics","Electronics Mfg & Services"
"Communic/Electronics","TV/Movies/Music"
"Construction","Construction Services"
"Construction","Special Trade Contractors"
"Construction","Home Builders"
"Construction","General Contractors"
"Construction","Building Materials & Equipment"
"Defense","Defense Electronics"
"Defense","Misc Defense"
"Defense","Defense Aerospace"
"Energy/Nat Resource","Environmental Svcs/Equipment"
"Energy/Nat Resource","Misc Energy"
"Energy/Nat Resource","Waste Management"
"Energy/Nat Resource","Electric Utilities"
"Energy/Nat Resource","Oil & Gas"
"Energy/Nat Resource","Mining"
"Energy/Nat Resource","Fisheries & Wildlife"
"Finance/Insur/RealEst","Commercial Banks"
"Finance/Insur/RealEst","Savings & Loans"
"Finance/Insur/RealEst","Real Estate"
"Finance/Insur/RealEst","Securities & Investment"
"Finance/Insur/RealEst","Accountants"
"Finance/Insur/RealEst","Misc Finance"
"Finance/Insur/RealEst","Credit Unions"
"Finance/Insur/RealEst","Finance/Credit Companies"
"Finance/Insur/RealEst","Insurance"
"Health","Health Services/HMOs"
"Health","Health Professionals"
"Health","Misc Health"
"Health","Hospitals/Nursing Homes"
"Health","Pharmaceuticals/Health Products"
"Ideology/Single-Issue","Gun Rights"
"Ideology/Single-Issue","Environment"
"Ideology/Single-Issue","Abortion Policy/Pro-Life"
"Ideology/Single-Issue","Human Rights"
"Ideology/Single-Issue","Republican/Conservative"
"Ideology/Single-Issue","Women's Issues"
"Ideology/Single-Issue","Candidate Committees"
"Ideology/Single-Issue","Pro-Israel"
"Ideology/Single-Issue","Abortion Policy/Pro-Choice"
"Ideology/Single-Issue","Gun Control"
"Ideology/Single-Issue","Foreign & Defense Policy"
"Ideology/Single-Issue","Misc Issues"
"Ideology/Single-Issue","Democratic/Liberal"
"Ideology/Single-Issue","Leadership PACs"
"Joint Candidate Cmtes","Joint Candidate Cmte"
"Labor","Industrial Unions"
"Labor","Public Sector Unions"
"Labor","Building Trade Unions"
"Labor","Misc Unions"
"Labor","Transportation Unions"
"Lawyers & Lobbyists","Lawyers/Law Firms"
"Lawyers & Lobbyists","Lobbyists"
"Misc Business","Misc Business"
"Misc Business","Misc Services"
"Misc Business","Misc Manufacturing & Distributing"
"Misc Business","Retail Sales"
"Misc Business","Food & Beverage"
"Misc Business","Business Services"
"Misc Business","Textiles"
"Misc Business","Business Associations"
"Misc Business","Casinos/Gambling"
"Misc Business","Recreation/Live Entertainment"
"Misc Business","Steel Production"
"Misc Business","Lodging/Tourism"
"Misc Business","Chemical & Related Manufacturing"
"Misc Business"," Beer, Wine & Liquor "
"Non-contribution","Party Committee Transfer"
"Non-contribution","Non-contribution"
"Other","Education"
"Other","Civil Servants/Public Officials"
"Other","Non-Profit Institutions"
"Other","Retired"
"Other","Other"
"Other","Intl Orgs"
"Other","Clergy & Religious Organizations"
"Party Cmte","Party Committees"
"Transportation","Railroads"
"Transportation","Sea Transport"
"Transportation","Trucking"
"Transportation","Misc Transport"
"Transportation","Air Transport"
"Transportation","Automotive"
"Unknown","Generic Occupation/Category Unknown"
"Unknown","Unknown"
"Unknown","No Employer Listed or Found"
"Unknown","Employer Listed/Category Unknown"
"Unknown","Homemakers/Non-income earners"